DOCK6,Dedicator Of Cytokinesis 6,Protein Coding,Q96HP0,49,GC19M011199,19.60373878479,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DOCK6,,,,,,,,,,,,,,,,,,
SMARCA4,"SWI/SNF Related, Matrix Associated, Actin Dependent Regulator Of Chromatin, Subfamily A, Member 4",Protein Coding,P51532,58,GC19P011131,17.89723777771,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMARCA4,,,,,,,,,,,,,,,,,,
LPL,Lipoprotein Lipase,Protein Coding,P06858,56,GC08P019901,17.4499073028564,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LPL,,,,,,,,,,,,,,,,,,
ABCA1,ATP Binding Cassette Subfamily A Member 1,Protein Coding,O95477,55,GC09M104781,13.9679431915283,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCA1,,,,,,,,,,,,,,,,,,
LOC126862855,BRD4-Independent Group 4 Enhancer GRCh37_chr19:11202176-11203375,Functional Element,,3,GC19P011213,13.3174161911011,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC126862855,,,,,,,,,,,,,,,,,,
LPA,Lipoprotein(A),Protein Coding,P08519,46,GC06M160531,11.9092130661011,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LPA,,,,,,,,,,,,,,,,,,
HMGCR,3-Hydroxy-3-Methylglutaryl-CoA Reductase,Protein Coding,P04035,53,GC05P075336,11.7964668273926,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HMGCR,,,,,,,,,,,,,,,,,,
LOC126862856,P300/CBP Strongly-Dependent Group 1 Enhancer GRCh37_chr19:11205098-11206297,Functional Element,,2,GC19P011215,11.2380704879761,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC126862856,,,,,,,,,,,,,,,,,,
CYP27A1,Cytochrome P450 Family 27 Subfamily A Member 1,Protein Coding,Q02318,53,GC02P218781,10.9799461364746,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP27A1,,,,,,,,,,,,,,,,,,
CETP,Cholesteryl Ester Transfer Protein,Protein Coding,P11597,53,GC16P056961,10.915135383606,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CETP,,,,,,,,,,,,,,,,,,
COG2,Component Of Oligomeric Golgi Complex 2,Protein Coding,Q14746,47,GC01P230642,10.2544441223145,https://www.genecards.org/cgi-bin/carddisp.pl?gene=COG2,,,,,,,,,,,,,,,,,,
PON1,Paraoxonase 1,Protein Coding,P27169,54,GC07M095297,9.60377883911133,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PON1,,,,,,,,,,,,,,,,,,
APOA1,Apolipoprotein A1,Protein Coding,P02647,57,GC11M116835,9.31449699401855,https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOA1,,,,,,,,,,,,,,,,,,
NGID-106632268,APOB 3' Scaffold/Matrix Attachment Region,Functional Element,,3,GC02P021001,9.22049713134766,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NGID-106632268,,,,,,,,,,,,,,,,,,
LIPC,"Lipase C, Hepatic Type",Protein Coding,P11150,52,GC15P058410,9.08673763275146,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LIPC,,,,,,,,,,,,,,,,,,
PPP1R17,Protein Phosphatase 1 Regulatory Subunit 17,Protein Coding,O96001,44,GC07P031687,8.78565692901611,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPP1R17,,,,,,,,,,,,,,,,,,
PON2,Paraoxonase 2,Protein Coding,Q15165,50,GC07M095404,8.3765230178833,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PON2,,,,,,,,,,,,,,,,,,
APOC3,Apolipoprotein C3,Protein Coding,P02656,52,GC11P116829,8.00844573974609,https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOC3,,,,,,,,,,,,,,,,,,
APOA4,Apolipoprotein A4,Protein Coding,P06727,48,GC11M116820,8.00844573974609,https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOA4,,,,,,,,,,,,,,,,,,
LCAT,Lecithin-Cholesterol Acyltransferase,Protein Coding,P04180,54,GC16M067939,7.83033132553101,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LCAT,,,,,,,,,,,,,,,,,,
SCARB1,Scavenger Receptor Class B Member 1,Protein Coding,Q8WTV0,54,GC12M124776,7.50721740722656,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCARB1,,,,,,,,,,,,,,,,,,
NOS3,Nitric Oxide Synthase 3,Protein Coding,P29474,56,GC07P152342,7.39097023010254,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOS3,,,,,,,,,,,,,,,,,,
DYNC2LI1,Dynein Cytoplasmic 2 Light Intermediate Chain 1,Protein Coding,Q8TCX1,46,GC02P043788,7.37405681610107,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DYNC2LI1,,,,,,,,,,,,,,,,,,
MTTP,Microsomal Triglyceride Transfer Protein,Protein Coding,P55157,52,GC04P099563,7.26172924041748,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTTP,,,,,,,,,,,,,,,,,,
LRP1,LDL Receptor Related Protein 1,Protein Coding,Q07954,54,GC12P057128,7.15555620193481,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRP1,,,,,,,,,,,,,,,,,,
APOA5,Apolipoprotein A5,Protein Coding,Q6Q788,50,GC11M116789,7.05325889587402,https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOA5,,,,,,,,,,,,,,,,,,
LIPA,"Lipase A, Lysosomal Acid Type",Protein Coding,P38571,56,GC10M089213,6.95064258575439,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LIPA,,,,,,,,,,,,,,,,,,
INS,Insulin,Protein Coding,P01308,54,GC11M002159,6.77882719039917,https://www.genecards.org/cgi-bin/carddisp.pl?gene=INS,,,,,,,,,,,,,,,,,,
CYP7A1,Cytochrome P450 Family 7 Subfamily A Member 1,Protein Coding,P22680,49,GC08M058490,6.73424291610718,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP7A1,,,,,,,,,,,,,,,,,,
ANGPTL3,Angiopoietin Like 3,Protein Coding,Q9Y5C1,54,GC01P062597,6.6992564201355,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANGPTL3,,,,,,,,,,,,,,,,,,
MIR7-3HG,MIR7-3 Host Gene,RNA Gene,Q8N6C7,29,GC19P006171,6.67075252532959,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR7-3HG,,,,,,,,,,,,,,,,,,
FABP2,Fatty Acid Binding Protein 2,Protein Coding,P12104,48,GC04M119317,6.48534679412842,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FABP2,,,,,,,,,,,,,,,,,,
SELE,Selectin E,Protein Coding,P16581,50,GC01M169722,6.45120859146118,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SELE,,,,,,,,,,,,,,,,,,
MSH6,MutS Homolog 6,Protein Coding,P52701,56,GC02P047695,6.44793939590454,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MSH6,,,,,,,,,,,,,,,,,,
SERPINE1,Serpin Family E Member 1,Protein Coding,P05121,57,GC07P101127,6.31778287887573,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINE1,,,,,,,,,,,,,,,,,,
LMF1,Lipase Maturation Factor 1,Protein Coding,Q96S06,46,GC16M000853,6.25308609008789,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LMF1,,,,,,,,,,,,,,,,,,
SOAT1,Sterol O-Acyltransferase 1,Protein Coding,P35610,50,GC01P179262,6.00926113128662,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOAT1,,,,,,,,,,,,,,,,,,
SREBF2,Sterol Regulatory Element Binding Transcription Factor 2,Protein Coding,Q12772,50,GC22P041833,5.9727954864502,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SREBF2,,,,,,,,,,,,,,,,,,
ABCB1,ATP Binding Cassette Subfamily B Member 1,Protein Coding,P08183,58,GC07M087504,5.95389747619629,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCB1,,,,,,,,,,,,,,,,,,
FLNB,Filamin B,Protein Coding,O75369,54,GC03P058008,5.95389747619629,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FLNB,,,,,,,,,,,,,,,,,,
EGF,Epidermal Growth Factor,Protein Coding,P01133,58,GC04P109912,5.88822555541992,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGF,,,,,,,,,,,,,,,,,,
SCNN1A,Sodium Channel Epithelial 1 Subunit Alpha,Protein Coding,P37088,56,GC12M006346,5.88822555541992,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCNN1A,,,,,,,,,,,,,,,,,,
ADRB2,Adrenoceptor Beta 2,Protein Coding,P07550,55,GC05P148825,5.88822555541992,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADRB2,,,,,,,,,,,,,,,,,,
FGB,Fibrinogen Beta Chain,Protein Coding,P02675,53,GC04P154620,5.88822555541992,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGB,,,,,,,,,,,,,,,,,,
MYLIP,Myosin Regulatory Light Chain Interacting Protein,Protein Coding,Q8WY64,46,GC06P016129,5.81013965606689,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYLIP,,,,,,,,,,,,,,,,,,
CBS,Cystathionine Beta-Synthase,Protein Coding,P35520,57,GC21M043053,5.65596485137939,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CBS,,,,,,,,,,,,,,,,,,
PLA2G7,Phospholipase A2 Group VII,Protein Coding,Q13093,57,GC06M046704,5.60718822479248,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLA2G7,,,,,,,,,,,,,,,,,,
EGFR,Epidermal Growth Factor Receptor,Protein Coding,P00533,62,GC07P055019,5.48615217208862,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGFR,,,,,,,,,,,,,,,,,,
APOA1-AS,APOA1 Antisense RNA,RNA Gene,,18,GC11P116836,5.48615217208862,https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOA1-AS,,,,,,,,,,,,,,,,,,
SREBF1,Sterol Regulatory Element Binding Transcription Factor 1,Protein Coding,P36956,55,GC17M017810,5.40056705474854,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SREBF1,,,,,,,,,,,,,,,,,,
APOC2,Apolipoprotein C2,Protein Coding,P02655,50,GC19P083475,5.38100004196167,https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOC2,,,,,,,,,,,,,,,,,,
ABCC6,ATP Binding Cassette Subfamily C Member 6,Protein Coding,O95255,54,GC16M016259,5.19394588470459,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCC6,,,,,,,,,,,,,,,,,,
NPC1L1,NPC1 Like Intracellular Cholesterol Transporter 1,Protein Coding,Q9UHC9,50,GC07M044512,5.0465841293335,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NPC1L1,,,,,,,,,,,,,,,,,,
CLTC,Clathrin Heavy Chain,Protein Coding,Q00610,53,GC17P059619,4.54724264144897,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLTC,,,,,,,,,,,,,,,,,,
DAB2,DAB Adaptor Protein 2,Protein Coding,P98082,50,GC05M039371,4.54724264144897,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DAB2,,,,,,,,,,,,,,,,,,
ADPRS,ADP-Ribosylserine Hydrolase,Protein Coding,Q9NX46,44,GC01P036092,4.54724264144897,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADPRS,,,,,,,,,,,,,,,,,,
CLASRP,CLK4 Associating Serine/Arginine Rich Protein,Protein Coding,Q8N2M8,41,GC19P045039,4.54724264144897,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLASRP,,,,,,,,,,,,,,,,,,
SORT1,Sortilin 1,Protein Coding,Q99523,50,GC01M109310,4.51546144485474,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SORT1,,,,,,,,,,,,,,,,,,
OTC,Ornithine Transcarbamylase,Protein Coding,P00480,53,GC0XP038330,4.2232551574707,https://www.genecards.org/cgi-bin/carddisp.pl?gene=OTC,,,,,,,,,,,,,,,,,,
SPIRE2,Spire Type Actin Nucleation Factor 2,Protein Coding,Q8WWL2,42,GC16P089818,4.2232551574707,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPIRE2,,,,,,,,,,,,,,,,,,
MTHFR,Methylenetetrahydrofolate Reductase,Protein Coding,P42898,54,GC01M011785,3.93517303466797,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTHFR,,,,,,,,,,,,,,,,,,
LMNA,Lamin A/C,Protein Coding,P02545,57,GC01P156082,3.67729640007019,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LMNA,,,,,,,,,,,,,,,,,,
MT-TP,Mitochondrially Encoded TRNA-Pro (CCN),RNA Gene,,12,GCMTM015957,3.44482469558716,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-TP,,,,,,,,,,,,,,,,,,
ALOX5AP,Arachidonate 5-Lipoxygenase Activating Protein,Protein Coding,P20292,51,GC13P030713,3.3299400806427,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALOX5AP,,,,,,,,,,,,,,,,,,
ACE,Angiotensin I Converting Enzyme,Protein Coding,P12821,58,GC17P063477,3.24658298492432,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACE,,,,,,,,,,,,,,,,,,
AGT,Angiotensinogen,Protein Coding,P01019,56,GC01M230690,3.17793655395508,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGT,,,,,,,,,,,,,,,,,,
ADD1,Adducin 1,Protein Coding,P35611,50,GC04P002859,3.10654830932617,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADD1,,,,,,,,,,,,,,,,,,
ADIPOQ,"Adiponectin, C1Q And Collagen Domain Containing",Protein Coding,Q15848,52,GC03P186842,2.77014684677124,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADIPOQ,,,,,,,,,,,,,,,,,,
AGTR1,Angiotensin II Receptor Type 1,Protein Coding,P30556,58,GC03P148697,2.63254904747009,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGTR1,,,,,,,,,,,,,,,,,,
CD93,CD93 Molecule,Protein Coding,Q9NPY3,46,GC20M023079,2.63254904747009,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD93,,,,,,,,,,,,,,,,,,
HNRNPUL1,Heterogeneous Nuclear Ribonucleoprotein U Like 1,Protein Coding,Q9BUJ2,43,GC19P041262,2.63254904747009,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNRNPUL1,,,,,,,,,,,,,,,,,,
OR13G1,Olfactory Receptor Family 13 Subfamily G Member 1,Protein Coding,Q8NGZ3,37,GC01M247672,2.63254904747009,https://www.genecards.org/cgi-bin/carddisp.pl?gene=OR13G1,,,,,,,,,,,,,,,,,,
F2,"Coagulation Factor II, Thrombin",Protein Coding,P00734,57,GC11P046851,2.44749736785889,https://www.genecards.org/cgi-bin/carddisp.pl?gene=F2,,,,,,,,,,,,,,,,,,
CDKN2A,Cyclin Dependent Kinase Inhibitor 2A,Protein Coding,Q8N726,58,GC09M021967,2.35462331771851,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN2A,,,,,,,,,,,,,,,,,,
NR3C1,Nuclear Receptor Subfamily 3 Group C Member 1,Protein Coding,P04150,56,GC05M143277,2.35462331771851,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR3C1,,,,,,,,,,,,,,,,,,
CDKN2B,Cyclin Dependent Kinase Inhibitor 2B,Protein Coding,P42772,53,GC09M022002,2.35462331771851,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN2B,,,,,,,,,,,,,,,,,,
ESR1,Estrogen Receptor 1,Protein Coding,P03372,61,GC06P151656,2.18740153312683,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ESR1,,,,,,,,,,,,,,,,,,
SLCO1B1,Solute Carrier Organic Anion Transporter Family Member 1B1,Protein Coding,Q9Y6L6,54,GC12P028683,2.18740153312683,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLCO1B1,,,,,,,,,,,,,,,,,,
IL6,Interleukin 6,Protein Coding,P05231,58,GC07P022725,2.14330410957336,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL6,,,,,,,,,,,,,,,,,,
F7,Coagulation Factor VII,Protein Coding,P08709,54,GC13P113105,2.09452748298645,https://www.genecards.org/cgi-bin/carddisp.pl?gene=F7,,,,,,,,,,,,,,,,,,
CRP,C-Reactive Protein,Protein Coding,P02741,52,GC01M159732,2.04935789108276,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRP,,,,,,,,,,,,,,,,,,
ITGB3,Integrin Subunit Beta 3,Protein Coding,P05106,59,GC17P078453,2.03916358947754,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGB3,,,,,,,,,,,,,,,,,,
NPPA,Natriuretic Peptide A,Protein Coding,P01160,52,GC01M011846,2.03916358947754,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NPPA,,,,,,,,,,,,,,,,,,
SORL1,Sortilin Related Receptor 1,Protein Coding,Q92673,52,GC11P121452,1.99262690544128,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SORL1,,,,,,,,,,,,,,,,,,
GPT,Glutamic--Pyruvic Transaminase,Protein Coding,P24298,48,GC08P144502,1.9836859703064,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPT,,,,,,,,,,,,,,,,,,
C3,Complement C3,Protein Coding,P01024,56,GC19M006677,1.94769430160522,https://www.genecards.org/cgi-bin/carddisp.pl?gene=C3,,,,,,,,,,,,,,,,,,
NR1H4,Nuclear Receptor Subfamily 1 Group H Member 4,Protein Coding,Q96RI1,54,GC12P100473,1.9434529542923,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR1H4,,,,,,,,,,,,,,,,,,
VCAM1,Vascular Cell Adhesion Molecule 1,Protein Coding,P19320,53,GC01P100719,1.91943168640137,https://www.genecards.org/cgi-bin/carddisp.pl?gene=VCAM1,,,,,,,,,,,,,,,,,,
HNF4A,Hepatocyte Nuclear Factor 4 Alpha,Protein Coding,P41235,56,GC20P044355,1.85151338577271,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNF4A,,,,,,,,,,,,,,,,,,
NR1H2,Nuclear Receptor Subfamily 1 Group H Member 2,Protein Coding,P55055,53,GC19P050329,1.85151338577271,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR1H2,,,,,,,,,,,,,,,,,,
SP1,Sp1 Transcription Factor,Protein Coding,P08047,52,GC12P053380,1.85151338577271,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SP1,,,,,,,,,,,,,,,,,,
PPARA,Peroxisome Proliferator Activated Receptor Alpha,Protein Coding,Q07869,51,GC22P046150,1.79945635795593,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPARA,,,,,,,,,,,,,,,,,,
CRABP2,Cellular Retinoic Acid Binding Protein 2,Protein Coding,P29373,50,GC01M157071,1.79945635795593,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRABP2,,,,,,,,,,,,,,,,,,
LEPR,Leptin Receptor,Protein Coding,P48357,57,GC01P065426,1.73378443717957,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LEPR,,,,,,,,,,,,,,,,,,
GPIHBP1,Glycosylphosphatidylinositol Anchored High Density Lipoprotein Binding Protein 1,Protein Coding,Q8IV16,44,GC08P143213,1.73378443717957,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPIHBP1,,,,,,,,,,,,,,,,,,
MPO,Myeloperoxidase,Protein Coding,P05164,60,GC17M058269,1.66497004032135,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MPO,,,,,,,,,,,,,,,,,,
TNF,Tumor Necrosis Factor,Protein Coding,P01375,58,GC06P104098,1.66497004032135,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNF,,,,,,,,,,,,,,,,,,
CFH,Complement Factor H,Protein Coding,P08603,54,GC01P196621,1.66497004032135,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CFH,,,,,,,,,,,,,,,,,,
XDH,Xanthine Dehydrogenase,Protein Coding,P47989,54,GC02M031334,1.66497004032135,https://www.genecards.org/cgi-bin/carddisp.pl?gene=XDH,,,,,,,,,,,,,,,,,,
CYP11B2,Cytochrome P450 Family 11 Subfamily B Member 2,Protein Coding,P19099,53,GC08M142910,1.66497004032135,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP11B2,,,,,,,,,,,,,,,,,,
XK,"X-Linked Kx Blood Group Antigen, Kell And VPS13A Binding Protein",Protein Coding,P51811,48,GC0XP037685,1.66497004032135,https://www.genecards.org/cgi-bin/carddisp.pl?gene=XK,,,,,,,,,,,,,,,,,,
MIR130A,MicroRNA 130a,RNA Gene,,24,GC11P057641,1.66497004032135,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR130A,,,,,,,,,,,,,,,,,,
PLTP,Phospholipid Transfer Protein,Protein Coding,P55058,51,GC20M045898,1.64819920063019,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLTP,,,,,,,,,,,,,,,,,,
ADRB3,Adrenoceptor Beta 3,Protein Coding,P13945,50,GC08M037962,1.64819920063019,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADRB3,,,,,,,,,,,,,,,,,,
CYP27B1,Cytochrome P450 Family 27 Subfamily B Member 1,Protein Coding,O15528,53,GC12M058692,1.64489233493805,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP27B1,,,,,,,,,,,,,,,,,,
NR1H3,Nuclear Receptor Subfamily 1 Group H Member 3,Protein Coding,Q13133,53,GC11P047248,1.64489233493805,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR1H3,,,,,,,,,,,,,,,,,,
CRYAA,Crystallin Alpha A,Protein Coding,P02489,52,GC21P043169,1.64489233493805,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRYAA,,,,,,,,,,,,,,,,,,
CYP7B1,Cytochrome P450 Family 7 Subfamily B Member 1,Protein Coding,O75881,52,GC08M064587,1.64489233493805,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP7B1,,,,,,,,,,,,,,,,,,
NR1I2,Nuclear Receptor Subfamily 1 Group I Member 2,Protein Coding,O75469,50,GC03P119780,1.64489233493805,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR1I2,,,,,,,,,,,,,,,,,,
FDX1,Ferredoxin 1,Protein Coding,P10109,46,GC11P110429,1.64489233493805,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FDX1,,,,,,,,,,,,,,,,,,
LPXN,Leupaxin,Protein Coding,O60711,46,GC11M108952,1.57938480377197,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LPXN,,,,,,,,,,,,,,,,,,
EMSLR,E2F1 MRNA Stabilizing LncRNA,RNA Gene,,16,GC07P102243,1.57938480377197,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EMSLR,,,,,,,,,,,,,,,,,,
LIPE,"Lipase E, Hormone Sensitive Type",Protein Coding,Q05469,54,GC19M042401,1.44157814979553,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LIPE,,,,,,,,,,,,,,,,,,
USF1,Upstream Transcription Factor 1,Protein Coding,P22415,50,GC01M161039,1.44157814979553,https://www.genecards.org/cgi-bin/carddisp.pl?gene=USF1,,,,,,,,,,,,,,,,,,
RXRG,Retinoid X Receptor Gamma,Protein Coding,P48443,48,GC01M165401,1.44157814979553,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RXRG,,,,,,,,,,,,,,,,,,
TXNIP,Thioredoxin Interacting Protein,Protein Coding,Q9H3M7,46,GC01M145992,1.44157814979553,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TXNIP,,,,,,,,,,,,,,,,,,
USF2,"Upstream Transcription Factor 2, C-Fos Interacting",Protein Coding,Q15853,46,GC19P035268,1.44157814979553,https://www.genecards.org/cgi-bin/carddisp.pl?gene=USF2,,,,,,,,,,,,,,,,,,
FADS3,Fatty Acid Desaturase 3,Protein Coding,Q9Y5Q0,43,GC11M061873,1.44157814979553,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FADS3,,,,,,,,,,,,,,,,,,
HYPLIP2,"Hyperlipidemia, Combined, 2",Genetic Locus,,2,GC11U990241,1.44157814979553,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HYPLIP2,,,,,,,,,,,,,,,,,,
SNORD118,"Small Nucleolar RNA, C/D Box 118",RNA Gene,,22,GC17M013550,1.43270933628082,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNORD118,,,,,,,,,,,,,,,,,,
TMX2-CTNND1,TMX2-CTNND1 Readthrough (NMD Candidate),RNA Gene,,18,GC11P057712,1.43270933628082,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMX2-CTNND1,,,,,,,,,,,,,,,,,,
