Gene Map Search - 'familial hypercholesterolemia '
Downloaded:	Jun 06, 2023
Copyright (c) 1966-2023 Johns Hopkins University OMIM, data are provided for research purposes only.

Cytogenetic location	Genomic coordinates (From NCBI/GRCh38)	Gene/Locus	Gene/Locus name	Gene/Locus MIM number	Approved Symbol	Entrez Gene ID	Ensembl Gene ID	Comments	Phenotype	Phenotype MIM number	Inheritance	Pheno map key	Mouse Gene (from MGI)
1q22	1:156082573-156140081	LMNA, LMN1, EMD2, FPLD2, CMD1A, HGPS	Lamin A/C	150330	LMNA	4000	ENSG00000160789,ENST00000368300;;;ENST00000368300		Restrictive dermopathy 2	619793		3	Lmna
1q23.2	1:160115759-160143591	ATP1A2, FHM2, MHP2, FARIMPD, DEE98	ATPase, Na+K+ transporting, alpha-2 polypeptide	182340	ATP1A2	477	ENSG00000018625,ENST00000361216;;;ENST00000361216		Alternating hemiplegia of childhood 1	104290	Autosomal dominant	3	Atp1a2
1q23.2	1:160115759-160143591	ATP1A2, FHM2, MHP2, FARIMPD, DEE98	ATPase, Na+K+ transporting, alpha-2 polypeptide	182340	ATP1A2	477	ENSG00000018625,ENST00000361216;;;ENST00000361216		Developmental and epileptic encephalopathy 98	619605	Autosomal dominant	3	Atp1a2
1q23.2	1:160115759-160143591	ATP1A2, FHM2, MHP2, FARIMPD, DEE98	ATPase, Na+K+ transporting, alpha-2 polypeptide	182340	ATP1A2	477	ENSG00000018625,ENST00000361216;;;ENST00000361216		Fetal akinesia, respiratory insufficiency, microcephaly, polymicrogyria, and dysmorphic facies	619602	Autosomal recessive	3	Atp1a2
1q23.2	1:160115759-160143591	ATP1A2, FHM2, MHP2, FARIMPD, DEE98	ATPase, Na+K+ transporting, alpha-2 polypeptide	182340	ATP1A2	477	ENSG00000018625,ENST00000361216;;;ENST00000361216		Migraine, familial basilar	602481	Autosomal dominant	3	Atp1a2
1q23.2	1:160115759-160143591	ATP1A2, FHM2, MHP2, FARIMPD, DEE98	ATPase, Na+K+ transporting, alpha-2 polypeptide	182340	ATP1A2	477	ENSG00000018625,ENST00000361216;;;ENST00000361216		Migraine, familial hemiplegic, 2	602481	Autosomal dominant	3	Atp1a2
1q23.2	1:160343383-160358949	NCSTN	Nicastrin	605254	NCSTN	23385	ENSG00000162736,ENST00000294785;;;ENST00000294785		Acne inversa, familial, 1	142690	Autosomal dominant	3	Ncstn
1q23.3	1:161039251-161045977	USF1, HYPLIP1	Upstream transcription factor 1	191523	USF1	7391	ENSG00000158773,ENST00000368021;;;ENST00000368021		{Hyperlipidemia, familial combined, susceptibility to}	602491		3	Usf1
1q23.3	1:161222292-161223628	APOA2	Apolipoprotein A-II	107670	APOA2	336	ENSG00000158874,ENST00000367990;;;ENST00000367990		Apolipoprotein A-II deficiency			3	Apoa2
1q23.3	1:161222292-161223628	APOA2	Apolipoprotein A-II	107670	APOA2	336	ENSG00000158874,ENST00000367990;;;ENST00000367990		{Hypercholesterolemia, familial, modifier of}	143890	Autosomal dominant; Autosomal recessive	3	Apoa2
1q31	1:185800001-198700000	MGR6, FHM3	Migraine, several forms	607516		317773			{Migraine with or without aura, susceptibility to, 6}	607516	Autosomal dominant	2	
1q31	1:185800001-198700000	MGR6, FHM3	Migraine, several forms	607516		317773			{Migraine, familial hemiplegic, 4}	607516	Autosomal dominant	2	
1q31.2	1:193122031-193254815	CDC73, HRPT2, C1orf28	Cell division cycle 73	607393	CDC73	79577	ENSG00000134371,ENST00000367435;;;ENST00000367435		Hyperparathyroidism, familial primary	145000	Autosomal dominant	3	Cdc73
1q31.2	1:193122031-193254815	CDC73, HRPT2, C1orf28	Cell division cycle 73	607393	CDC73	79577	ENSG00000134371,ENST00000367435;;;ENST00000367435		Hyperparathyroidism-jaw tumor syndrome	145001	Autosomal dominant	3	Cdc73
1q31.2	1:193122031-193254815	CDC73, HRPT2, C1orf28	Cell division cycle 73	607393	CDC73	79577	ENSG00000134371,ENST00000367435;;;ENST00000367435		Parathyroid adenoma with cystic changes	145001	Autosomal dominant	3	Cdc73
1q31.2	1:193122031-193254815	CDC73, HRPT2, C1orf28	Cell division cycle 73	607393	CDC73	79577	ENSG00000134371,ENST00000367435;;;ENST00000367435		Parathyroid carcinoma	608266		3	Cdc73
1q32	1:198700001-214400000	PFHB2	Progressive familial heart block, type II	140400		105463127		between D1S70 and D1S505	Progressive familial heart block, type II	140400	Autosomal dominant	2	
1q32.1	1:201359014-201377680	TNNT2, CMH2, CMD1D, RCM3, LVNC6	Troponin-T2, cardiac	191045	TNNT2	7139	ENSG00000118194,ENST00000656932;;;ENST00000656932		Cardiomyopathy, dilated, 1D	601494	Autosomal dominant	3	Tnnt2
1q32.1	1:201359014-201377680	TNNT2, CMH2, CMD1D, RCM3, LVNC6	Troponin-T2, cardiac	191045	TNNT2	7139	ENSG00000118194,ENST00000656932;;;ENST00000656932		Cardiomyopathy, familial restrictive, 3	612422	Autosomal dominant	3	Tnnt2
1q32.1	1:201359014-201377680	TNNT2, CMH2, CMD1D, RCM3, LVNC6	Troponin-T2, cardiac	191045	TNNT2	7139	ENSG00000118194,ENST00000656932;;;ENST00000656932		Cardiomyopathy, hypertrophic, 2	115195	Autosomal dominant	3	Tnnt2
1q32.1	1:201359014-201377680	TNNT2, CMH2, CMD1D, RCM3, LVNC6	Troponin-T2, cardiac	191045	TNNT2	7139	ENSG00000118194,ENST00000656932;;;ENST00000656932		Left ventricular noncompaction 6	601494	Autosomal dominant	3	Tnnt2
1q32.1	1:205042949-205078289	CNTN2, TAX, TAX1, FAME5	Contactin 2 (transiently-expressed axonal glycoprotein)	190197	CNTN2	6900	ENSG00000184144,ENST00000331830;;;ENST00000331830	1 family identified with mutation	?Epilepsy, myoclonic, familial adult, 5	615400	Autosomal recessive	3	Cntn2
1q42.2	1:231363756-231422287	EGLN1, PHD2, HIFPH2, C1orf12, ZMYND6, SM20, ECYT3, HALAH	egl-9 family hypoxia inducible factor 1	606425	EGLN1	54583	ENSG00000135766,ENST00000366641;;;ENST00000366641		Erythrocytosis, familial, 3	609820	Autosomal dominant	3	Egln1
1q42.2	1:231363756-231422287	EGLN1, PHD2, HIFPH2, C1orf12, ZMYND6, SM20, ECYT3, HALAH	egl-9 family hypoxia inducible factor 1	606425	EGLN1	54583	ENSG00000135766,ENST00000366641;;;ENST00000366641		[Hemoglobin, high altitude adaptation]	609070	Autosomal dominant	3	Egln1
1q44	1:247416077-247448817	NLRP3, CIAS1, FCU, FCAS1, NALP3, PYPAF1, DFNA34, KEFH	NLR family, pyrin domain containing 3	606416	NLRP3	114548	ENSG00000162711,ENST00000336119;;;ENST00000336119		CINCA syndrome	607115	Autosomal dominant	3	Nlrp3
1q44	1:247416077-247448817	NLRP3, CIAS1, FCU, FCAS1, NALP3, PYPAF1, DFNA34, KEFH	NLR family, pyrin domain containing 3	606416	NLRP3	114548	ENSG00000162711,ENST00000336119;;;ENST00000336119		Deafness, autosomal dominant 34, with or without inflammation	617772	Autosomal dominant	3	Nlrp3
1q44	1:247416077-247448817	NLRP3, CIAS1, FCU, FCAS1, NALP3, PYPAF1, DFNA34, KEFH	NLR family, pyrin domain containing 3	606416	NLRP3	114548	ENSG00000162711,ENST00000336119;;;ENST00000336119		Familial cold inflammatory syndrome 1	120100	Autosomal dominant	3	Nlrp3
1q44	1:247416077-247448817	NLRP3, CIAS1, FCU, FCAS1, NALP3, PYPAF1, DFNA34, KEFH	NLR family, pyrin domain containing 3	606416	NLRP3	114548	ENSG00000162711,ENST00000336119;;;ENST00000336119		Keratoendothelitis fugax hereditaria	148200	Autosomal dominant	3	Nlrp3
1q44	1:247416077-247448817	NLRP3, CIAS1, FCU, FCAS1, NALP3, PYPAF1, DFNA34, KEFH	NLR family, pyrin domain containing 3	606416	NLRP3	114548	ENSG00000162711,ENST00000336119;;;ENST00000336119		Muckle-Wells syndrome	191900	Autosomal dominant	3	Nlrp3
2p24.1	2:21001429-21044073	APOB, FLDB, LDLCQ4, FCHL2	Apolipoprotein B (including Ag(x) antigen)	107730	APOB	338	ENSG00000084674,ENST00000233242;;;ENST00000233242	1 gene for liver apo-B100 and gut apo-B48; Ag linked	Hypercholesterolemia, familial, 2	144010	Autosomal dominant	3	Apob
2p24.1	2:21001429-21044073	APOB, FLDB, LDLCQ4, FCHL2	Apolipoprotein B (including Ag(x) antigen)	107730	APOB	338	ENSG00000084674,ENST00000233242;;;ENST00000233242	1 gene for liver apo-B100 and gut apo-B48; Ag linked	Hypobetalipoproteinemia	615558	Autosomal recessive	3	Apob
2p22.3-p21	2:31800001-47500000	CANDF1, CMCT	Candidiasis, familial, 1	114580		117084		between D2S367 and D2S2240	Candidiasis, familial, 1, autosomal dominant	114580	Autosomal dominant	2	
2p22.3	2:32224449-32265743	NLRC4, CARD12, CLAN, IPAF, AIFEC, FCAS4	NLR family, caspase recruitment domain-containing 4	606831	NLRC4	58484	ENSG00000091106,ENST00000402280;;;ENST00000402280	mutation identified in 1 FCAS4 family	?Familial cold autoinflammatory syndrome 4	616115	Autosomal dominant	3	Nlrc4
2p22.3	2:32224449-32265743	NLRC4, CARD12, CLAN, IPAF, AIFEC, FCAS4	NLR family, caspase recruitment domain-containing 4	606831	NLRC4	58484	ENSG00000091106,ENST00000402280;;;ENST00000402280	mutation identified in 1 FCAS4 family	Autoinflammation with infantile enterocolitis	616050	Autosomal dominant	3	Nlrc4
2p22.1-p21	2:38300001-47500000	HNFJ3	Hyperuricemic nephropathy, familial juvenile, 3	614227		100689490		between rs372139 and rs896986	Hyperuricemic nephropathy, familial juvenile, 3	614227	Autosomal dominant	2	
2p21	2:46297407-46386697	EPAS1, MOP2, HIF2A, ECYT4	Endothelial PAS domain protein 1	603349	EPAS1	2034	ENSG00000116016,ENST00000263734;;;ENST00000263734		Erythrocytosis, familial, 4	611783	Autosomal dominant	3	Epas1
2p16.3	2:47783145-47810101	MSH6, GTBP, LYNCH5, MMRCS3	mutS homolog 6	600678	MSH6	2956	ENSG00000116062,ENST00000234420;;;ENST00000234420	0.5 Mb from MSH2	Lynch syndrome 5	614350	Autosomal dominant	3	Msh6
2p16.3	2:47783145-47810101	MSH6, GTBP, LYNCH5, MMRCS3	mutS homolog 6	600678	MSH6	2956	ENSG00000116062,ENST00000234420;;;ENST00000234420	0.5 Mb from MSH2	Mismatch repair cancer syndrome 3	619097	Autosomal recessive	3	Msh6
2p16.3	2:47783145-47810101	MSH6, GTBP, LYNCH5, MMRCS3	mutS homolog 6	600678	MSH6	2956	ENSG00000116062,ENST00000234420;;;ENST00000234420	0.5 Mb from MSH2	{Endometrial cancer, familial}	608089	Autosomal dominant; Somatic mutation	3	Msh6
2p11.2	2:86784605-86808396	CD8A	CD8 antigen, alpha polypeptide  (p32)	186910	CD8A	925	ENSG00000153563,ENST00000283635;;;ENST00000283635	distal to IGK	CD8 deficiency, familial	608957	Autosomal recessive	3	Cd8a
2q11.2	2:96184859-96208827	STARD7, GTT1, FAME2	START domain-containing protein 4	616712	STARD7	56910	ENSG00000084090,ENST00000337288;;;ENST00000337288		Epilepsy, familial adult myoclonic, 2	607876	Autosomal dominant	3	Stard7
2q24.3	2:165087526-165204050	SCN3A, FFEVF4, DEE62	Sodium voltage-gated channel, alpha subunit 3	182391	SCN3A	6328	ENSG00000153253,ENST00000283254;;;ENST00000283254		Developmental and epileptic encephalopathy 62	617938	Autosomal dominant	3	Scn3a
2q24.3	2:165087526-165204050	SCN3A, FFEVF4, DEE62	Sodium voltage-gated channel, alpha subunit 3	182391	SCN3A	6328	ENSG00000153253,ENST00000283254;;;ENST00000283254		Epilepsy, familial focal, with variable foci 4	617935	Autosomal dominant	3	Scn3a
2q24.3	2:165239414-165392304	SCN2A, SCN2A1, BFIC3, DEE11, BFIS3, BFNIS, EA9	Sodium voltage-gated channel, alpha subunit 2	182390	SCN2A	6326	ENSG00000136531,ENST00000375437;;;ENST00000375437	4 related genes on chr.2	Developmental and epileptic encephalopathy 11	613721	Autosomal dominant	3	Scn2a
2q24.3	2:165239414-165392304	SCN2A, SCN2A1, BFIC3, DEE11, BFIS3, BFNIS, EA9	Sodium voltage-gated channel, alpha subunit 2	182390	SCN2A	6326	ENSG00000136531,ENST00000375437;;;ENST00000375437	4 related genes on chr.2	Episodic ataxia, type 9	618924	Autosomal dominant	3	Scn2a
2q24.3	2:165239414-165392304	SCN2A, SCN2A1, BFIC3, DEE11, BFIS3, BFNIS, EA9	Sodium voltage-gated channel, alpha subunit 2	182390	SCN2A	6326	ENSG00000136531,ENST00000375437;;;ENST00000375437	4 related genes on chr.2	Seizures, benign familial infantile, 3	607745	Autosomal dominant	3	Scn2a
2q24.3	2:165747588-165794692	GALNT3, HHS, HFTC1	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 3	601756	GALNT3	2591	ENSG00000115339,ENST00000392701;;;ENST00000392701		Tumoral calcinosis, hyperphosphatemic, familial, 1	211900	Autosomal recessive	3	Galnt3
2q24.3	2:165984641-166149161	SCN1A, GEFSP2, SMEI, FEB3A, DEE6A, DRVT, FHM3, DEE6B	Sodium voltage-gated channel, alpha subunit 1	182389	SCN1A	6323	ENSG00000144285,ENST00000674923;;;ENST00000674923		Developmental and epileptic encephalopathy 6B, non-Dravet	619317	Autosomal dominant	3	Scn1a
2q24.3	2:165984641-166149161	SCN1A, GEFSP2, SMEI, FEB3A, DEE6A, DRVT, FHM3, DEE6B	Sodium voltage-gated channel, alpha subunit 1	182389	SCN1A	6323	ENSG00000144285,ENST00000674923;;;ENST00000674923		Dravet syndrome	607208	Autosomal dominant	3	Scn1a
2q24.3	2:165984641-166149161	SCN1A, GEFSP2, SMEI, FEB3A, DEE6A, DRVT, FHM3, DEE6B	Sodium voltage-gated channel, alpha subunit 1	182389	SCN1A	6323	ENSG00000144285,ENST00000674923;;;ENST00000674923		Febrile seizures, familial, 3A	604403	Autosomal dominant	3	Scn1a
2q24.3	2:165984641-166149161	SCN1A, GEFSP2, SMEI, FEB3A, DEE6A, DRVT, FHM3, DEE6B	Sodium voltage-gated channel, alpha subunit 1	182389	SCN1A	6323	ENSG00000144285,ENST00000674923;;;ENST00000674923		Generalized epilepsy with febrile seizures plus, type 2	604403	Autosomal dominant	3	Scn1a
2q24.3	2:165984641-166149161	SCN1A, GEFSP2, SMEI, FEB3A, DEE6A, DRVT, FHM3, DEE6B	Sodium voltage-gated channel, alpha subunit 1	182389	SCN1A	6323	ENSG00000144285,ENST00000674923;;;ENST00000674923		Migraine, familial hemiplegic, 3	609634	Autosomal dominant	3	Scn1a
2q31.1	2:168915390-169031324	ABCB11, BSEP, SPGP, PFIC2, BRIC2	ATP-binding cassette, subfamily B, member 11 (bile salt export pump)	603201	ABCB11	8647	ENSG00000073734,ENST00000650372;;;ENST00000650372		Cholestasis, benign recurrent intrahepatic, 2	605479	Autosomal recessive	3	Abcb11
2q31.1	2:168915390-169031324	ABCB11, BSEP, SPGP, PFIC2, BRIC2	ATP-binding cassette, subfamily B, member 11 (bile salt export pump)	603201	ABCB11	8647	ENSG00000073734,ENST00000650372;;;ENST00000650372		Cholestasis, progressive familial intrahepatic 2	601847	Autosomal recessive	3	Abcb11
2q31.2	2:178525989-178807423	TTN, CMD1G, TMD, LGMDR10, MPRM, HMERF, CMYP5	Titin	188840	TTN	7273	ENSG00000155657,ENST00000589042;;;ENST00000589042		Cardiomyopathy, dilated, 1G	604145	Autosomal dominant	3	Ttn
2q31.2	2:178525989-178807423	TTN, CMD1G, TMD, LGMDR10, MPRM, HMERF, CMYP5	Titin	188840	TTN	7273	ENSG00000155657,ENST00000589042;;;ENST00000589042		Cardiomyopathy, familial hypertrophic, 9	613765	Autosomal dominant	3	Ttn
2q31.2	2:178525989-178807423	TTN, CMD1G, TMD, LGMDR10, MPRM, HMERF, CMYP5	Titin	188840	TTN	7273	ENSG00000155657,ENST00000589042;;;ENST00000589042		Congenital myopathy 5 with cardiomyopathy	611705	Autosomal recessive	3	Ttn
2q31.2	2:178525989-178807423	TTN, CMD1G, TMD, LGMDR10, MPRM, HMERF, CMYP5	Titin	188840	TTN	7273	ENSG00000155657,ENST00000589042;;;ENST00000589042		Muscular dystrophy, limb-girdle, autosomal recessive 10	608807	Autosomal recessive	3	Ttn
2q31.2	2:178525989-178807423	TTN, CMD1G, TMD, LGMDR10, MPRM, HMERF, CMYP5	Titin	188840	TTN	7273	ENSG00000155657,ENST00000589042;;;ENST00000589042		Myopathy, myofibrillar, 9, with early respiratory failure	603689	Autosomal dominant	3	Ttn
2q31.2	2:178525989-178807423	TTN, CMD1G, TMD, LGMDR10, MPRM, HMERF, CMYP5	Titin	188840	TTN	7273	ENSG00000155657,ENST00000589042;;;ENST00000589042		Tibial muscular dystrophy, tardive	600334	Autosomal dominant	3	Ttn
2q33.1-q33.2	2:202376327-202567749	BMPR2, PPH1, POVD1	Bone morphogenetic receptor, type II	600799	BMPR2	659	ENSG00000204217,ENST00000374580;;;ENST00000374580		Pulmonary hypertension, familial primary, 1, with or without HHT	178600	Autosomal dominant	3	Bmpr2
2q33.1-q33.2	2:202376327-202567749	BMPR2, PPH1, POVD1	Bone morphogenetic receptor, type II	600799	BMPR2	659	ENSG00000204217,ENST00000374580;;;ENST00000374580		Pulmonary hypertension, primary, fenfluramine or dexfenfluramine-associated	178600	Autosomal dominant	3	Bmpr2
2q33.1-q33.2	2:202376327-202567749	BMPR2, PPH1, POVD1	Bone morphogenetic receptor, type II	600799	BMPR2	659	ENSG00000204217,ENST00000374580;;;ENST00000374580		Pulmonary venoocclusive disease 1	265450	Autosomal dominant	3	Bmpr2
2q35-q36	2:214500001-230100000	PSHK2	Pseudohyperkalemia, familial, 2, due to red cell leak	609153				max lod at D2S1338	Pseudohyperkalemia, familial, 2, due to red cell leak	609153	Autosomal dominant	2	
2q35	2:219209772-219218958	ABCB6, MTABC3, MCOPCB7, LAN, DUH3, PSHK2	ATP-binding cassette, subfamily B, member 6	605452	ABCB6	10058	ENSG00000115657,ENST00000265316;;;ENST00000265316		Dyschromatosis universalis hereditaria 3	615402	Autosomal dominant	3	Abcb6
2q35	2:219209772-219218958	ABCB6, MTABC3, MCOPCB7, LAN, DUH3, PSHK2	ATP-binding cassette, subfamily B, member 6	605452	ABCB6	10058	ENSG00000115657,ENST00000265316;;;ENST00000265316		Microphthalmia, isolated, with coloboma 7	614497	Autosomal dominant	3	Abcb6
2q35	2:219209772-219218958	ABCB6, MTABC3, MCOPCB7, LAN, DUH3, PSHK2	ATP-binding cassette, subfamily B, member 6	605452	ABCB6	10058	ENSG00000115657,ENST00000265316;;;ENST00000265316		Pseudohyperkalemia, familial, 2, due to red cell leak	609153	Autosomal dominant	3	Abcb6
2q35	2:219209772-219218958	ABCB6, MTABC3, MCOPCB7, LAN, DUH3, PSHK2	ATP-binding cassette, subfamily B, member 6	605452	ABCB6	10058	ENSG00000115657,ENST00000265316;;;ENST00000265316		[Blood group, Langereis system]	111600		3	Abcb6
2q36.3	2:226967360-227164488	COL4A4, ATS2, BFH1	Collagen IV, alpha-4 polypeptide	120131	COL4A4	1286	ENSG00000081052,ENST00000396625;;;ENST00000396625	head-to-head with COL4A4 in same YAC	Alport syndrome 2, autosomal recessive	203780	Autosomal recessive	3	Col4a4
2q36.3	2:226967360-227164488	COL4A4, ATS2, BFH1	Collagen IV, alpha-4 polypeptide	120131	COL4A4	1286	ENSG00000081052,ENST00000396625;;;ENST00000396625	head-to-head with COL4A4 in same YAC	Hematuria, familial benign, 1	141200	Autosomal dominant	3	Col4a4
2q36.3	2:227164624-227314792	COL4A3, ATS2, ATS3, BFH2	Collagen IV, alpha-3 polypeptide (Goodpasture antigen)	120070	COL4A3	1285	ENSG00000169031,ENST00000396578;;;ENST00000396578	noncollagenous domain = Goodpasture antigen	Alport syndrome 2, autosomal recessive	203780	Autosomal recessive	3	Col4a3
